[18, 72, 88, 117]
[18, 72, 88, 122]
[18, 72, 88, 89]
[18, 72, 88, 104]
[72, 88, 104, 126]
[67, 72, 88, 104]
[19, 72, 88, 104]
[31, 72, 88, 104]
[72, 88, 95, 104]
[11, 72, 88, 104]
[72, 88, 104, 105]
[72, 88, 90, 104]
[32, 72, 88, 104]
[40, 72, 88, 104]
[72, 88, 92, 104]
[72, 88, 104, 147]
[72, 88, 104, 117]
[72, 88, 104, 122]
[72, 88, 122, 128]
[72, 88, 122, 126]
[19, 72, 88, 122]
[70, 72, 88, 122]
[45, 72, 88, 122]
[72, 80, 88, 122]
[21, 72, 88, 122]
[72, 88, 90, 122]
[25, 72, 88, 122]
[72, 88, 98, 122]
[40, 72, 88, 122]
[36, 72, 88, 122]
[44, 72, 88, 122]
[44, 68, 72, 88]
[11, 44, 72, 88]
[44, 72, 88, 105]
[21, 44, 72, 88]
[44, 72, 88, 92]
[44, 72, 88, 147]
[44, 72, 88, 117]
[44, 72, 88, 98]
[40, 44, 72, 88]
[36, 44, 72, 88]
[36, 41, 72, 88]
[36, 67, 72, 88]
[31, 36, 72, 88]
[36, 72, 88, 130]
[36, 70, 72, 88]
[36, 45, 72, 88]
[36, 72, 80, 88]
[36, 72, 88, 112]
[11, 36, 72, 88]
[36, 72, 88, 105]
[32, 36, 72, 88]
[36, 40, 72, 88]
[40, 47, 72, 88]
[31, 40, 72, 88]
[40, 72, 88, 130]
[40, 70, 72, 88]
[40, 72, 88, 95]
[40, 72, 80, 88]
[40, 72, 88, 105]
[21, 40, 72, 88]
[40, 72, 88, 92]
[40, 72, 88, 147]
[40, 72, 88, 117]
[72, 88, 117, 128]
[41, 72, 88, 117]
[68, 72, 88, 117]
[67, 72, 88, 117]
[31, 72, 88, 117]
[72, 88, 117, 130]
[72, 80, 88, 117]
[72, 88, 105, 117]
[72, 88, 90, 117]
[32, 72, 88, 117]
[72, 88, 117, 147]
[72, 88, 128, 147]
[41, 72, 88, 147]
[31, 72, 88, 147]
[72, 88, 130, 147]
[70, 72, 88, 147]
[72, 88, 95, 147]
[45, 72, 88, 147]
[11, 72, 88, 147]
[21, 72, 88, 147]
[72, 88, 90, 147]
[32, 72, 88, 147]
[72, 88, 92, 147]
[41, 72, 88, 92]
[68, 72, 88, 92]
[19, 72, 88, 92]
[47, 72, 88, 92]
[72, 88, 92, 130]
[70, 72, 88, 92]
[11, 72, 88, 92]
[21, 72, 88, 92]
[21, 41, 72, 88]
[21, 67, 72, 88]
[21, 31, 72, 88]
[21, 72, 88, 95]
[21, 45, 72, 88]
[21, 72, 88, 112]
[21, 72, 88, 105]
[21, 72, 88, 90]
[21, 32, 72, 88]
[21, 68, 72, 88]
[41, 68, 72, 88]
[67, 68, 72, 88]
[68, 72, 88, 105]
[68, 72, 88, 90]
[72, 88, 90, 128]
[41, 72, 88, 90]
[67, 72, 88, 90]
[41, 67, 72, 88]
[67, 72, 88, 126]
[41, 72, 88, 126]
[31, 72, 88, 128]
[31, 67, 72, 88]
[31, 72, 88, 95]
[72, 88, 95, 128]
[41, 72, 88, 95]
[67, 72, 88, 95]
[45, 72, 88, 128]
[31, 45, 72, 88]
[45, 72, 80, 88]
[72, 80, 88, 128]
[41, 72, 80, 88]
[72, 80, 88, 126]
[67, 72, 80, 88]
[67, 72, 88, 112]
[67, 72, 88, 105]
[72, 88, 105, 128]
[72, 88, 105, 126]
[31, 72, 88, 105]
[72, 88, 95, 105]
[45, 72, 88, 105]
[32, 45, 72, 88]
[32, 41, 72, 88]
[32, 72, 88, 90]
[32, 67, 72, 88]
[32, 72, 88, 95]
[19, 72, 88, 95]
[19, 72, 88, 128]
[19, 41, 72, 88]
[19, 72, 88, 126]
[19, 72, 88, 90]
[19, 31, 72, 88]
[19, 45, 72, 88]
[19, 72, 80, 88]
[19, 72, 88, 112]
[47, 72, 88, 128]
[45, 47, 72, 88]
[47, 72, 88, 130]
[72, 88, 128, 130]
[31, 72, 88, 130]
[72, 88, 126, 130]
[45, 72, 88, 130]
[32, 72, 88, 130]
[72, 80, 88, 130]
[19, 72, 88, 130]
[70, 72, 88, 130]
[31, 70, 72, 88]
[70, 72, 88, 95]
[70, 72, 88, 112]
[32, 70, 72, 88]
[47, 70, 72, 88]
[11, 47, 72, 88]
[11, 72, 88, 90]
[11, 67, 72, 88]
[11, 72, 88, 105]
[11, 32, 72, 88]
[11, 72, 80, 88]
[11, 19, 72, 88]
[11, 72, 88, 130]
[25, 72, 88, 130]
[25, 72, 88, 128]
[25, 72, 88, 117]
[25, 72, 88, 147]
[25, 72, 88, 90]
[25, 72, 88, 92]
[25, 67, 72, 88]
[25, 72, 88, 95]
[25, 68, 72, 88]
[25, 41, 72, 88]
[25, 45, 72, 88]
[25, 72, 88, 112]
[25, 47, 72, 88]
[25, 72, 88, 98]
[72, 88, 90, 98]
[21, 72, 88, 98]
[72, 88, 92, 98]
[31, 72, 88, 98]
[67, 72, 88, 98]
[72, 88, 95, 98]
[68, 72, 88, 98]
[45, 72, 88, 98]
[72, 88, 98, 105]
[32, 72, 88, 98]
[72, 80, 88, 98]
[72, 88, 98, 130]
[70, 72, 88, 98]
[11, 72, 88, 98]
[72, 88, 89, 98]
[40, 72, 88, 89]
[44, 72, 88, 89]
[72, 88, 89, 147]
[72, 88, 89, 90]
[21, 72, 88, 89]
[72, 88, 89, 92]
[72, 88, 89, 126]
[72, 88, 89, 112]
[72, 88, 89, 105]
[32, 72, 88, 89]
[19, 72, 88, 89]
[72, 88, 89, 130]
[25, 72, 88, 89]
[26, 72, 88, 89]
[26, 72, 88, 128]
[10, 26, 72, 88]
[9, 26, 72, 88]
[26, 72, 82, 88]
[26, 40, 72, 88]
[26, 72, 88, 117]
[26, 72, 88, 147]
[21, 26, 72, 88]
[26, 72, 88, 92]
[26, 31, 72, 88]
[26, 41, 72, 88]
[26, 72, 88, 104]
[26, 72, 88, 122]
[26, 72, 88, 105]
[26, 72, 80, 88]
[26, 72, 88, 130]
[26, 72, 88, 98]
[26, 34, 72, 88]
[10, 34, 72, 88]
